case_number,id,date,district,beat,injury_type,cleared,date_clear
JD365439,25462,2020-09-13 00:06:00,3,313,SHOT,N,
JD366057,25464,2020-09-13 15:57:00,7,713,SHOT,N,
JD366214,25465,2020-09-13 18:10:00,5,522,SHOT,Y,2020-09-15
JD366424,25463,2020-09-13 23:27:00,3,323,STABBED,Y,2020-10-21
JD366417,25466,2020-09-13 23:31:00,11,1122,SHOT,Y,2020-10-27
JD366458,25467,2020-09-14 00:40:00,19,1913,SHOT,N,
JD366570,25468,2020-09-14 05:59:00,12,1221,SHOT,Y,2021-02-19
JD367419,25469,2020-09-14 20:32:00,17,1712,SHOT,N,
JD368303,25470,2020-09-15 18:12:00,24,2431,SHOT,Y,2021-02-04
JD368438,25471,2020-09-15 20:24:00,3,334,SHOT,N,
JD368559,25472,2020-09-15 23:09:00,9,931,SHOT,N,
JD369513,25473,2020-09-16 18:17:00,17,1723,SHOT,Y,2021-04-28
JD369840,25474,2020-09-17 01:14:00,8,812,STABBED,Y,2020-11-17
JD371629,25476,2020-09-18 17:38:00,4,423,SHOT,N,
JD371894,25477,2020-09-18 22:00:00,15,1512,SHOT,N,
JD372631,25478,2020-09-19 16:27:00,10,1011,SHOT,Y,2021-11-02
JD372683,25480,2020-09-19 17:00:00,8,832,SHOT,Y,2021-11-19
JD373100,25479,2020-09-20 03:09:00,4,411,SHOT,N,
JD373241,25481,2020-09-20 09:50:00,10,1011,SHOT,N,
JD373401,25482,2020-09-20 13:05:00,8,832,SHOT,N,
JD374011,25483,2020-09-21 01:40:00,16,1632,SHOT,Y,2022-02-17
JD374035,25484,2020-09-21 02:13:00,17,1712,SHOT,Y,2022-04-20
JD374047,25485,2020-09-21 02:51:00,24,2412,SHOT,Y,2020-11-04
JD374810,25488,2020-09-21 19:16:00,6,631,SHOT,N,
JD375079,25486,2020-09-22 00:32:00,11,1134,OTHER,N,
JD375339,25487,2020-09-22 10:34:00,12,1223,SHOT,N,
JD375982,25519,2020-09-22 20:35:00,5,511,ASSAULT,Y,2020-12-03
JD376465,25489,2020-09-23 10:32:00,14,1431,SHOT,Y,2020-09-26
JD376749,25490,2020-09-23 15:08:00,10,1011,SHOT,N,
JD377114,25491,2020-09-23 20:50:00,4,411,SHOT,N,
JD378371,25492,2020-09-25 00:51:00,6,612,STRANGULATION,N,
JD378424,25493,2020-09-25 04:06:00,9,935,SHOT,N,
JD379435,25494,2020-09-25 22:01:00,6,633,SHOT,N,
JD379647,25495,2020-09-26 04:09:00,3,332,SHOT,N,
JD379655,25497,2020-09-26 04:51:00,15,1523,SHOT,Y,2021-03-30
JD379783,25499,2020-09-26 09:25:00,11,1123,STABBED,Y,2020-09-27
JD379909,25498,2020-09-26 11:15:00,15,1532,SHOT,Y,2021-01-06
JD380448,25496,2020-09-26 21:20:00,5,532,SHOT,N,
JD380550,25501,2020-09-27 00:12:00,19,1921,STABBED,N,
JD381362,25505,2020-09-27 17:20:00,7,722,SHOT,N,
JD381366,25502,2020-09-27 18:42:00,7,713,SHOT,N,
JD381573,25503,2020-09-27 23:02:00,11,1121,SHOT,N,
JD381639,25504,2020-09-28 00:54:00,3,324,SHOT,N,
JD382095,25506,2020-09-28 13:24:00,3,331,SHOT,Y,2021-06-21
JD382768,25509,2020-09-29 02:35:00,11,1115,SHOT,N,
JD382767,25507,2020-09-29 02:35:00,3,332,SHOT,Y,2021-02-03
JD383120,25510,2020-09-29 12:44:00,15,1523,SHOT,Y,2020-12-03
JD383122,25511,2020-09-29 12:48:00,11,1122,SHOT,N,
JD384035,25513,2020-09-30 11:32:00,15,1523,SHOT,Y,2020-10-01
JD384100,25512,2020-09-30 12:15:00,7,715,SHOT,N,
JD384825,25514,2020-10-01 02:12:00,7,734,SHOT,N,
JD385787,25515,2020-10-01 21:49:00,11,1122,SHOT,N,
JD386487,25516,2020-10-02 15:54:00,11,1115,SHOT,N,
JD386650,25517,2020-10-02 17:45:00,8,832,SHOT,Y,2021-12-17
JD386844,25518,2020-10-02 22:02:00,8,825,SHOT,N,
JD388515,25550,2020-10-04 15:02:00,7,713,SHOT,N,
JD388620,25521,2020-10-04 16:51:00,5,522,SHOT,N,
JD388899,25522,2020-10-04 22:34:00,10,1011,SHOT,N,
JD389428,25523,2020-10-05 13:19:00,5,524,SHOT,Y,2020-11-19
JD389456,25526,2020-10-05 13:50:00,25,2533,STABBED,Y,2021-01-29
JD389598,25524,2020-10-05 15:44:00,17,1712,SHOT,N,
JD389959,25525,2020-10-05 20:51:00,4,411,SHOT,N,
JD390608,25527,2020-10-06 13:56:00,4,411,SHOT,N,
JD391209,25528,2020-10-07 01:22:00,3,332,SHOT,N,
JD392220,25529,2020-10-07 21:38:00,4,432,SHOT,N,
JD393235,25530,2020-10-08 20:46:00,15,1533,SHOT,N,
JD393309,25627,2020-10-08 22:24:00,3,323,SHOT,Y,2021-05-20
JD396749,25539,2020-10-09 12:30:00,9,914,ASSAULT,Y,2020-10-14
JD394445,25531,2020-10-09 23:32:00,5,513,SHOT,Y,2020-10-15
JD394559,25533,2020-10-10 02:27:00,11,1113,SHOT,N,
JD394573,25534,2020-10-10 02:56:00,12,1222,SHOT,N,
JD395285,25535,2020-10-10 18:51:00,11,1115,SHOT,N,
JD396031,25537,2020-10-11 14:40:00,9,914,SHOT,Y,2020-11-18
JD396427,25538,2020-10-11 21:55:00,6,632,SHOT,N,
JD397489,25540,2020-10-12 20:00:00,18,1811,STABBED,Y,2020-12-07
JD397541,25582,2020-10-12 22:10:00,7,713,SHOT,N,
JD397578,25541,2020-10-12 23:13:00,14,1422,SHOT,Y,2021-01-31
JD397606,25558,2020-10-13 00:05:00,4,431,OTHER,Y,2020-10-22
JD397606,25542,2020-10-13 00:05:00,4,431,SHOT,Y,2020-10-22
JD398293,25544,2020-10-13 16:54:00,11,1112,SHOT,Y,2020-10-21
JD398407,25561,2020-10-13 18:10:00,3,334,SHOT,Y,2021-08-25
JD399115,25545,2020-10-14 13:20:00,7,713,SHOT,N,
JD399816,25546,2020-10-15 00:50:00,2,214,SHOT,Y,2021-09-29
JD399982,25551,2020-10-15 08:38:00,11,1123,SHOT,N,
JD400319,25547,2020-10-15 14:39:00,9,911,SHOT,Y,2021-03-26
JD400594,25548,2020-10-15 19:28:00,5,532,SHOT,Y,2020-11-24
JD400875,25549,2020-10-16 04:56:00,7,713,STABBED,Y,2020-10-27
JD401830,25552,2020-10-16 22:52:00,10,1011,SHOT,N,
JD401856,25553,2020-10-16 23:49:00,16,1632,SHOT,Y,2020-11-28
JD401865,25554,2020-10-17 00:02:00,6,631,SHOT,Y,2020-11-03
JD401972,25555,2020-10-17 04:20:00,11,1112,SHOT,N,
JD402446,25556,2020-10-17 15:05:00,10,1014,SHOT,N,
JD403004,25559,2020-10-18 04:20:00,6,621,SHOT,Y,2020-10-30
JD403502,25557,2020-10-18 16:05:00,12,1211,STABBED,Y,2021-07-04
JD403563,25560,2020-10-18 17:41:00,12,1222,SHOT,N,
JD403067,25563,2020-10-18 18:29:00,15,1532,STRANGULATION,Y,2020-10-21
JD404202,25562,2020-10-19 12:52:00,3,322,SHOT,N,
JD404866,25564,2020-10-20 02:41:00,9,924,SHOT,N,
JD407328,25565,2020-10-22 11:56:00,6,624,SHOT,N,
JD407759,25566,2020-10-22 17:41:00,5,513,SHOT,N,
JD409259,25571,2020-10-24 03:05:00,25,2535,SHOT,Y,2021-06-04
JD409798,25567,2020-10-24 16:22:00,5,531,SHOT,N,
JD410007,25568,2020-10-24 20:20:00,2,215,STABBED,N,
JD410064,25570,2020-10-24 22:10:00,11,1112,SHOT,N,
JD410805,25572,2020-10-25 18:01:00,22,2222,SHOT,Y,2020-10-26
JD410860,25573,2020-10-25 19:15:00,10,1024,SHOT,Y,2020-11-24
JD412097,25574,2020-10-27 01:47:00,5,532,SHOT,Y,2021-07-05
JD412156,25621,2020-10-27 06:37:00,12,1235,SHOT,N,
JD413085,25575,2020-10-28 06:05:00,9,925,SHOT,N,
JD413727,25576,2020-10-28 17:51:00,6,623,SHOT,Y,2020-11-03
JD413965,26699,2020-10-28 23:05:00,4,421,SHOT,N,
JD414100,25577,2020-10-29 07:33:00,4,421,SHOT,N,
JD414137,25578,2020-10-29 08:29:00,3,334,SHOT,N,
JD414483,25579,2020-10-29 14:01:00,19,1915,SHOT,Y,2020-11-05
JD414794,25580,2020-10-29 18:13:00,11,1112,SHOT,N,
JD415066,25654,2020-10-30 03:50:00,10,1022,SHOT,N,
JD415988,25581,2020-10-30 22:09:00,22,2234,SHOT,N,
JD416956,25583,2020-10-31 19:06:00,11,1121,SHOT,N,
JD417014,25584,2020-10-31 20:22:00,10,1011,SHOT,Y,2021-05-26
JD417016,25585,2020-10-31 20:28:00,3,331,SHOT,N,
JD417270,25592,2020-11-01 01:03:00,12,1233,BLUNT FORCE INJURY,N,
JD418958,25586,2020-11-02 19:39:00,15,1533,SHOT,Y,2020-12-21
JD419464,25587,2020-11-03 12:09:00,11,1133,SHOT,N,
JD419688,25588,2020-11-03 14:24:00,11,1131,SHOT,N,
JD420053,25589,2020-11-03 19:52:00,15,1522,SHOT,N,
JD420526,25590,2020-11-04 11:24:00,15,1511,SHOT,Y,2020-11-24
JD421353,25593,2020-11-05 03:00:00,17,1732,SHOT,Y,2020-11-24
JD422083,25591,2020-11-05 17:49:00,7,732,SHOT,N,
JD422184,25594,2020-11-05 19:14:00,6,612,SHOT,N,
JD422229,25597,2020-11-05 20:22:00,15,1532,SHOT,N,
JD422410,25596,2020-11-06 01:28:00,7,726,SHOT,N,
JD422430,25595,2020-11-06 02:21:00,7,725,SHOT,N,
JD423568,25599,2020-11-07 01:36:00,15,1511,SHOT,N,
JD423602,25603,2020-11-07 02:56:00,15,1524,SHOT,Y,2020-11-08
JD423611,25598,2020-11-07 03:15:00,3,333,SHOT,N,
JD424303,25600,2020-11-07 17:32:00,24,2411,SHOT,N,
JD424633,25604,2020-11-08 01:08:00,15,1533,SHOT,Y,2020-11-17
JD424989,25601,2020-11-08 12:15:00,8,831,SHOT,N,
JD425287,25602,2020-11-08 18:08:00,6,612,SHOT,N,
JD425614,25605,2020-11-09 02:00:00,8,813,SHOT,Y,2021-09-27
JD425636,25616,2020-11-09 02:42:00,15,1533,BLUNT FORCE INJURY,N,
JD426385,25607,2020-11-09 17:50:00,11,1112,SHOT,N,
JD426385,25606,2020-11-09 17:50:00,11,1112,SHOT,N,
JD426429,25608,2020-11-09 18:10:00,24,2432,SHOT,N,
JD427781,25609,2020-11-10 22:56:00,11,1132,SHOT,N,
JD428133,25610,2020-11-11 11:49:00,22,2223,SHOT,N,
JD428578,25612,2020-11-11 18:25:00,10,1021,SHOT,N,
JD428578,25611,2020-11-11 18:25:00,10,1021,SHOT,N,
JD429662,25620,2020-11-12 21:05:00,25,2525,SHOT,N,
JD429677,25613,2020-11-12 21:57:00,8,813,SHOT,Y,2020-12-21
JD429711,25615,2020-11-12 22:50:00,22,2233,SHOT,N,
JD429730,25614,2020-11-12 23:17:00,7,714,SHOT,N,
JD430446,25617,2020-11-13 16:17:00,2,232,SHOT,Y,2021-04-16
JD430647,25618,2020-11-13 20:03:00,15,1513,SHOT,N,
JD431149,25619,2020-11-14 12:01:00,6,631,STABBED,Y,2021-07-07
JD435188,25622,2020-11-18 16:00:00,11,1133,SHOT,N,
JD437080,25623,2020-11-20 17:17:00,7,711,SHOT,N,
JD437237,25624,2020-11-20 20:28:00,4,412,SHOT,N,
JD437398,25628,2020-11-21 00:28:00,15,1512,SHOT,N,
JD438133,25625,2020-11-21 18:55:00,5,523,SHOT,Y,2020-12-15
JD438266,25626,2020-11-21 22:15:00,4,422,SHOT,N,
JD438344,25629,2020-11-22 00:40:00,5,511,SHOT,Y,2020-12-31
JD438848,25662,2020-11-22 16:22:00,10,1011,SHOT,N,
JD439599,25630,2020-11-23 14:23:00,11,1131,SHOT,N,
JD440104,25631,2020-11-23 23:50:00,15,1513,SHOT,N,
JD440137,25632,2020-11-24 00:26:00,6,623,SHOT,Y,2021-04-01
JD440223,25633,2020-11-24 04:41:00,4,414,SHOT,N,
JD442193,25637,2020-11-26 02:14:00,11,1121,STABBED,Y,2021-05-15
JD442756,25636,2020-11-27 00:56:00,6,612,SHOT,N,
JD442787,25635,2020-11-27 01:25:00,11,1112,SHOT,N,
JD442829,25634,2020-11-27 03:15:00,8,831,STABBED,Y,2020-11-28
JD443247,25638,2020-11-27 15:38:00,12,1222,SHOT,N,
JD443510,25639,2020-11-27 20:23:00,11,1132,SHOT,N,
JD443741,25641,2020-11-28 06:09:00,10,1033,SHOT,N,
JD444077,25640,2020-11-28 14:17:00,4,424,SHOT,N,
JD444540,25642,2020-11-29 00:50:00,9,914,SHOT,Y,2021-07-23
JD444610,25646,2020-11-29 03:45:00,15,1522,SHOT,N,
JD444618,25643,2020-11-29 04:25:00,6,624,SHOT,N,
JD445100,25644,2020-11-29 18:04:00,22,2212,SHOT,N,
JD445340,25645,2020-11-30 02:36:00,1,123,SHOT,N,
JD448026,25649,2020-12-02 20:05:00,15,1522,BLUNT FORCE INJURY,N,
JD448026,25651,2020-12-02 20:05:00,15,1522,BLUNT FORCE INJURY,N,
JD448026,25650,2020-12-02 20:05:00,15,1522,BLUNT FORCE INJURY,N,
JD448552,25647,2020-12-03 14:09:00,22,2212,SHOT,Y,2020-12-17
JD448843,25648,2020-12-03 19:07:00,9,923,SHOT,N,
JD450372,25652,2020-12-05 13:06:00,14,1412,SHOT,Y,2021-01-13
JD451449,25655,2020-12-06 00:25:00,16,1634,SHOT,Y,2021-12-27
JD450976,25653,2020-12-06 03:20:00,12,1221,SHOT,N,
JD451003,25656,2020-12-06 04:30:00,12,1213,SHOT,Y,2021-06-08
JD451631,25657,2020-12-06 21:13:00,15,1532,SHOT,N,
JD452091,25658,2020-12-07 12:14:00,5,512,SHOT,N,
JD452203,25659,2020-12-07 14:30:00,5,511,SHOT,N,
JD452853,25661,2020-12-08 08:07:00,11,1135,SHOT,Y,2021-01-06
JD453443,25660,2020-12-08 17:15:00,7,731,SHOT,N,
JD454034,25663,2020-12-09 11:42:00,6,631,STABBED,Y,2020-12-10
JD454798,25664,2020-12-10 06:05:00,6,633,SHOT,N,
JD455780,25665,2020-12-11 04:26:00,2,231,BLUNT FORCE INJURY,Y,2020-12-16
JD457527,25667,2020-12-12 20:30:00,10,1022,SHOT,N,
JD457651,25666,2020-12-13 00:09:00,2,215,SHOT,Y,2021-01-20
JD458309,25668,2020-12-13 01:23:00,2,231,SHOT,N,
JD461201,25669,2020-12-16 23:21:00,5,533,SHOT,N,
JD461462,25670,2020-12-17 09:52:00,8,821,STABBED,Y,2021-01-28
JD461629,25671,2020-12-17 12:21:00,17,1722,SHOT,Y,2021-03-03
JD462480,25722,2020-12-18 11:47:00,25,2532,SHOT,N,
JD462566,25672,2020-12-18 13:07:00,3,331,SHOT,N,
JD463213,25673,2020-12-19 02:58:00,6,613,SHOT,N,
JD463716,25674,2020-12-19 15:40:00,3,332,SHOT,N,
JD463816,25675,2020-12-19 18:27:00,10,1023,SHOT,N,
JD464149,25691,2020-12-20 01:35:00,11,1133,SHOT,N,
JD464227,25676,2020-12-20 04:58:00,11,1134,SHOT,Y,2020-12-21
JD464783,25677,2020-12-20 19:39:00,22,2234,SHOT,N,
JD464945,25678,2020-12-21 01:10:00,9,932,SHOT,N,
JD464968,25679,2020-12-21 02:53:00,12,1211,SHOT,Y,2021-06-14
JD465657,25680,2020-12-21 18:02:00,9,914,SHOT,Y,2021-01-13
JD466325,25681,2020-12-22 12:40:00,11,1112,SHOT,Y,2021-06-16
JD468434,25682,2020-12-24 12:06:00,4,413,SHOT,N,
JD468564,25683,2020-12-24 15:13:00,11,1121,SHOT,Y,2021-05-12
JD469257,25684,2020-12-25 14:32:00,3,324,SHOT,N,
JD469460,25685,2020-12-25 21:21:00,8,822,SHOT,Y,2021-07-23
JD469441,25688,2020-12-26 04:08:00,6,631,SHOT,N,
JD469828,25686,2020-12-26 11:43:00,7,711,STABBED,Y,2020-12-27
JD470337,25687,2020-12-26 22:03:00,7,731,SHOT,N,
JD470467,25690,2020-12-27 03:53:00,4,412,SHOT,N,
JD470565,25689,2020-12-27 08:58:00,8,814,SHOT,N,
JD471211,25693,2020-12-28 03:12:00,10,1034,SHOT,N,
JD471236,25694,2020-12-28 06:06:00,16,1624,SHOT,N,
JD472075,25692,2020-12-28 21:17:00,6,622,SHOT,Y,2021-06-18
JD472972,25695,2020-12-29 18:41:00,15,1524,SHOT,N,
JD473196,25698,2020-12-30 00:58:00,9,912,BLUNT FORCE INJURY,N,
JD474021,25696,2020-12-30 21:29:00,3,322,SHOT,N,
JD474113,25697,2020-12-31 00:53:00,15,1511,SHOT,N,
JE100022,25703,2021-01-01 01:02:00,4,424,SHOT,N,
JE100162,25699,2021-01-01 03:16:00,2,224,SHOT,N,
JE100715,25700,2021-01-01 17:04:00,15,1532,SHOT,N,
JE101671,25701,2021-01-02 21:18:00,10,1022,SHOT,N,
JE102438,25702,2021-01-03 19:26:00,3,332,SHOT,N,
JE103396,25704,2021-01-04 18:57:00,6,623,SHOT,Y,2021-05-27
JE103451,25705,2021-01-04 20:24:00,11,1133,SHOT,N,
JE103492,25706,2021-01-04 21:34:00,7,711,SHOT,N,
JE104195,25707,2021-01-05 16:20:00,3,322,SHOT,N,
JE104664,25708,2021-01-06 04:58:00,6,621,SHOT,N,
JE104664,25709,2021-01-06 04:58:00,6,621,SHOT,N,
JE105104,25710,2021-01-06 15:37:00,14,1421,SHOT,Y,2021-08-11
JE106050,25711,2021-01-07 14:35:00,8,825,SHOT,Y,2021-08-11
JE106469,25712,2021-01-07 23:22:00,11,1122,SHOT,N,
JE108124,25715,2021-01-09 14:00:00,2,222,SHOT,Y,2021-02-25
JE107997,25714,2021-01-09 14:17:00,2,222,SHOT,Y,2021-04-13
JE108028,25717,2021-01-09 16:23:00,22,2223,SHOT,Y,2021-05-25
JE108117,25755,2021-01-09 16:58:00,22,2232,SHOT,Y,2021-11-15
JE108294,25719,2021-01-09 20:33:00,11,1124,SHOT,N,
JE108294,25718,2021-01-09 20:33:00,11,1124,SHOT,N,
JE108328,25746,2021-01-09 21:27:00,20,2033,STABBED,Y,2021-01-26
JE109540,25720,2021-01-11 11:24:00,9,921,SHOT,N,
JE110271,25721,2021-01-12 01:15:00,6,623,SHOT,Y,2021-08-31
JE111602,25723,2021-01-13 13:10:00,5,532,SHOT,N,
JE112541,25724,2021-01-14 13:36:00,25,2532,SHOT,N,
JE112825,25725,2021-01-14 17:32:00,25,2533,SHOT,N,
JE113489,25732,2021-01-15 12:45:00,6,624,SHOT,N,
JE113759,25726,2021-01-15 16:51:00,7,724,SHOT,N,
JE113828,25727,2021-01-15 17:47:00,22,2222,SHOT,N,
JE114110,25728,2021-01-16 00:23:00,4,413,SHOT,Y,2021-03-11
JE115131,25729,2021-01-17 02:48:00,3,312,SHOT,N,
JE115158,26541,2021-01-17 05:40:00,10,1011,SHOT,N,
JE115702,25731,2021-01-17 18:17:00,25,2515,SHOT,Y,2021-07-27
JE115878,25730,2021-01-17 23:09:00,11,1112,SHOT,N,
JE116833,25733,2021-01-19 07:51:00,10,1011,SHOT,N,
JE118685,25766,2021-01-21 04:00:00,7,726,SHOT,N,
JE119595,25734,2021-01-21 22:28:00,3,313,SHOT,N,
JE119606,25735,2021-01-21 22:52:00,10,1022,SHOT,N,
JE119998,25739,2021-01-22 12:06:00,11,1115,SHOT,N,
JE120147,25738,2021-01-22 13:58:00,11,1132,SHOT,Y,2021-03-13
JE120562,25737,2021-01-22 20:42:00,8,833,SHOT,N,
JE120598,25736,2021-01-22 21:45:00,5,532,SHOT,N,
JE121437,25740,2021-01-23 19:33:00,5,523,SHOT,Y,2021-11-14
JE121584,25742,2021-01-24 00:52:00,6,611,SHOT,Y,2021-01-25
JE121591,25743,2021-01-24 01:03:00,22,2232,SHOT,N,
JE121729,25744,2021-01-24 07:49:00,10,1033,SHOT,Y,2021-01-25
JE122490,25745,2021-01-25 04:45:00,17,1732,SHOT,N,
JE124799,25747,2021-01-27 15:24:00,2,212,SHOT,Y,2021-01-29
JE125131,25757,2021-01-27 21:24:00,6,622,SHOT,N,
JE125583,25748,2021-01-28 12:19:00,1,131,SHOT,N,
JE126034,25749,2021-01-28 19:25:00,12,1223,SHOT,N,
JE126873,25750,2021-01-29 17:21:00,15,1522,SHOT,N,
JE127233,25751,2021-01-30 03:15:00,7,735,SHOT,N,
JE128482,25752,2021-01-31 15:26:00,2,224,SHOT,N,
JE128575,25753,2021-01-31 17:51:00,7,733,SHOT,N,
JE130684,25754,2021-02-02 19:00:00,9,934,SHOT,N,
JE131727,25756,2021-02-03 19:40:00,8,825,SHOT,N,
JE133341,25758,2021-02-05 14:25:00,8,832,SHOT,Y,2022-03-26
JE133730,25759,2021-02-05 21:11:00,25,2533,SHOT,Y,2021-02-07
JE133828,25760,2021-02-06 00:30:00,10,1024,SHOT,Y,2021-09-24
JE135055,25762,2021-02-07 12:39:00,15,1533,SHOT,N,
JE135554,25761,2021-02-07 22:42:00,4,421,SHOT,N,
JE136065,25770,2021-02-08 14:41:00,22,2222,SHOT,Y,2021-03-26
JE136346,25764,2021-02-08 19:44:00,3,324,SHOT,N,
JE136378,25763,2021-02-08 20:30:00,3,313,SHOT,N,
JE136516,25767,2021-02-09 05:45:00,11,1121,SHOT,Y,2021-02-11
JE138253,25768,2021-02-10 19:10:00,2,212,SHOT,N,
JE140202,25769,2021-02-12 20:02:00,15,1533,SHOT,N,
JE141079,25771,2021-02-13 20:12:00,6,612,SHOT,N,
JE141194,25772,2021-02-14 00:20:00,25,2531,SHOT,Y,2021-03-03
JE141440,25773,2021-02-14 11:18:00,6,631,SHOT,N,
JE142625,25774,2021-02-15 18:06:00,3,322,STABBED,N,
JE142769,25782,2021-02-16 01:01:00,6,614,SHOT,N,
JE143284,25776,2021-02-16 18:03:00,9,913,SHOT,Y,2021-03-13
JE143335,25775,2021-02-16 19:22:00,6,623,SHOT,N,
JE144350,25777,2021-02-17 21:01:00,11,1113,SHOT,Y,2021-02-19
JE144478,25936,2021-02-18 00:46:00,22,2212,ASSAULT,Y,2021-07-03
JE146555,25779,2021-02-20 00:55:00,6,611,SHOT,Y,2021-08-31
JE146705,26111,2021-02-20 08:54:00,3,333,BLUNT FORCE INJURY,N,
JE148087,25780,2021-02-21 17:09:00,10,1032,SHOT,Y,2022-01-13
JE149236,25781,2021-02-22 19:58:00,3,323,SHOT,N,
JE151419,25784,2021-02-24 22:30:00,2,231,SHOT,N,
JE152400,25785,2021-02-25 20:15:00,15,1532,SHOT,N,
JE153463,25786,2021-02-26 20:45:00,8,823,SHOT,Y,2021-02-28
JE153504,25787,2021-02-26 21:50:00,5,522,SHOT,N,
JE154611,25788,2021-02-28 00:17:00,6,634,SHOT,N,
JE154725,25789,2021-02-28 03:55:00,22,2223,SHOT,Y,2021-07-07
JE154771,25791,2021-02-28 03:59:00,6,614,OTHER,Y,2021-03-09
JE154771,25792,2021-02-28 03:59:00,6,614,OTHER,Y,2021-03-09
JE154928,25790,2021-02-28 11:11:00,25,2531,SHOT,N,
JE155328,25793,2021-02-28 18:54:00,3,314,SHOT,N,
JE156133,26033,2021-03-01 16:13:00,6,632,SHOT,N,
JE156432,25817,2021-03-01 22:48:00,5,523,SHOT,Y,2021-04-01
JE156497,25794,2021-03-02 02:37:00,3,331,SHOT,Y,2021-03-25
JE158218,25795,2021-03-03 17:10:00,6,622,SHOT,N,
JE161082,25796,2021-03-06 15:08:00,7,712,SHOT,N,
JE161149,25928,2021-03-06 16:00:00,9,923,STABBED,Y,2021-12-28
JE162150,25797,2021-03-07 19:28:00,4,411,SHOT,N,
JE166179,25812,2021-03-07 21:00:00,10,1034,BLUNT FORCE INJURY,Y,2021-05-25
JE162908,25798,2021-03-08 15:06:00,2,232,SHOT,N,
JE163081,25799,2021-03-08 18:02:00,5,532,SHOT,N,
JE163081,25800,2021-03-08 18:02:00,5,532,SHOT,N,
JE163151,25801,2021-03-08 19:27:00,15,1524,SHOT,Y,2021-05-12
JE164965,25802,2021-03-10 14:19:00,2,212,SHOT,Y,2021-04-16
JE164994,25804,2021-03-10 14:52:00,4,411,SHOT,N,
JE165280,25803,2021-03-10 19:06:00,8,813,SHOT,N,
JE165303,25805,2021-03-10 19:55:00,10,1012,SHOT,N,
JE168295,25806,2021-03-13 21:35:00,25,2534,SHOT,N,
JE168409,25807,2021-03-14 01:06:00,4,411,SHOT,Y,2021-04-29
JE168486,25809,2021-03-14 04:41:00,3,322,SHOT,N,
JE168486,25808,2021-03-14 04:41:00,3,322,SHOT,N,
JE168523,25810,2021-03-14 06:57:00,25,2531,SHOT,N,
JE169446,25811,2021-03-15 10:48:00,15,1524,SHOT,N,
JE173689,25837,2021-03-19 17:40:00,24,2431,STABBED,Y,2021-04-12
JE173701,25813,2021-03-19 18:47:00,12,1222,SHOT,N,
JE174425,25814,2021-03-20 15:06:00,2,211,SHOT,N,
JE174942,25821,2021-03-21 04:17:00,16,1623,SHOT,N,
JE174979,25815,2021-03-21 06:33:00,14,1433,SHOT,N,
JE175526,26147,2021-03-21 18:40:00,2,213,SHOT,N,
JE175526,25816,2021-03-21 18:40:00,2,213,SHOT,N,
JE176509,25818,2021-03-22 16:55:00,2,224,SHOT,N,
JE176559,25819,2021-03-22 17:24:00,11,1113,SHOT,N,
JE176747,25820,2021-03-22 20:48:00,6,624,SHOT,N,
JE177040,25822,2021-03-23 03:30:00,10,1011,SHOT,Y,2021-06-24
JE177363,25823,2021-03-23 12:22:00,6,634,SHOT,Y,2021-03-24
JE177954,25824,2021-03-24 01:17:00,7,735,SHOT,Y,2021-09-08
JE178376,25825,2021-03-24 13:25:00,6,613,SHOT,N,
JE178815,25829,2021-03-24 20:40:00,25,2514,SHOT,Y,2021-04-04
JE178971,25827,2021-03-25 03:22:00,4,421,SHOT,Y,2021-08-04
JE179906,25828,2021-03-26 00:08:00,8,835,SHOT,N,
JE180555,25830,2021-03-26 16:23:00,5,532,SHOT,N,
JE181828,25831,2021-03-27 23:34:00,5,512,SHOT,Y,2021-03-31
JE182083,25834,2021-03-28 08:15:00,24,2412,ASSAULT,Y,2021-04-08
JE182440,25832,2021-03-28 16:34:00,14,1422,SHOT,N,
JE182514,25833,2021-03-28 18:05:00,5,532,SHOT,N,
JE185249,25835,2021-03-31 12:57:00,15,1523,SHOT,N,
JE185470,25838,2021-03-31 16:18:00,8,825,SHOT,Y,2021-04-03
JE185655,25836,2021-03-31 18:57:00,15,1523,SHOT,Y,2021-07-19
JE188599,25846,2021-04-03 19:25:00,12,1223,SHOT,Y,2021-05-27
JE188855,25839,2021-04-04 01:28:00,5,513,SHOT,N,
JE189165,25843,2021-04-04 12:15:00,10,1032,SHOT,N,
JE189264,25841,2021-04-04 14:14:00,5,522,SHOT,N,
JE189401,25844,2021-04-04 16:26:00,16,1633,SHOT,Y,2021-05-21
JE189464,25842,2021-04-04 18:14:00,22,2222,SHOT,N,
JE189539,25845,2021-04-04 19:25:00,14,1423,SHOT,N,
JE189658,25840,2021-04-04 23:23:00,7,724,SHOT,N,
JE190306,25847,2021-04-05 15:48:00,5,523,SHOT,Y,2021-04-17
JE190465,25849,2021-04-05 18:02:00,7,714,SHOT,Y,2021-07-21
JE190673,25848,2021-04-05 22:28:00,7,713,SHOT,Y,2021-08-23
JE190772,25850,2021-04-06 01:17:00,5,512,SHOT,N,
JE190809,25853,2021-04-06 03:36:00,15,1522,SHOT,Y,2021-04-07
JE191249,25851,2021-04-06 14:11:00,4,421,SHOT,N,
JE191618,25871,2021-04-06 19:28:00,15,1523,SHOT,N,
JE191686,25854,2021-04-06 21:12:00,10,1022,SHOT,Y,2021-09-01
